del
ponder
lpondera
mpondera
cspondera
cspuntaje
csdesemp
cnpondera
cnpuntaje
cndesemp
iclima
iclimal
iclimam
autoconlengua
autoconmate
autoconlengual
autoconlenguam
qvulneraa
qvulneraap
isocioal
isocioam
iclimacs
iclimacn
isocioacn
isocioacs
Mun
OBJECTID
Entidad
Objeto
FNA
GNA
NAM
SAG
FDC
IN1
SHAPE_STAr
SHAPE_STLe
FNA.1
_merge
Subcategory
lpuntaje
mdesemp
ldesemp
